timestamp,method,feature,time,status
"2023-04-20 18:16:54.137","GET","/company/practicum/list","114","200 OK"
"2023-04-20 18:17:00.692","GET","/company/practicum/show","61","200 OK"
"2023-04-20 18:17:00.836","GET","/company/practicum/show","46","200 OK"
"2023-04-20 18:17:04.737","GET","/company/practicum/list","27","200 OK"
"2023-04-20 18:17:06.537","GET","/company/practicum/create","28","200 OK"
"2023-04-20 18:17:20.012","POST","/company/practicum/create","240","200 OK"
"2023-04-20 18:17:20.942","GET","/company/practicum/list","41","200 OK"
"2023-04-20 18:17:24.8","GET","/company/practicum/show","35","200 OK"
"2023-04-20 18:17:24.949","GET","/company/practicum/show","33","200 OK"
"2023-04-20 18:17:46.453","POST","/company/practicum/update","58","200 OK"
"2023-04-20 18:17:47.051","GET","/company/practicum/list","47","200 OK"
"2023-04-20 18:17:50.609","GET","/company/practicum/show","21","200 OK"
"2023-04-20 18:17:50.792","GET","/company/practicum/show","31","200 OK"
"2023-04-20 18:17:54.677","GET","/company/practicum/list","26","200 OK"
"2023-04-20 18:17:58.941","GET","/company/practicum/show","25","200 OK"
"2023-04-20 18:17:59.122","GET","/company/practicum/show","25","200 OK"
"2023-04-20 18:18:01.453","POST","/company/practicum/delete","50","200 OK"
"2023-04-20 18:18:01.971","GET","/company/practicum/list","34","200 OK"
"2023-04-20 18:18:03.922","GET","/company/practicum/show","25","200 OK"
"2023-04-20 18:18:04.086","GET","/company/practicum/show","32","200 OK"
"2023-04-20 18:18:05.738","POST","/company/practicum/publish","32","200 OK"
"2023-04-20 18:18:06.251","GET","/company/practicum/list","37","200 OK"
