timestamp,method,feature,time,status
"2023-04-21 15:05:37.918","GET","/company/company-dashboard/show","250","200 OK"
"2023-04-21 15:05:53.094","GET","/company/practicum/list","19","200 OK"
"2023-04-21 15:05:56.31","GET","/company/practicum/create","83","200 OK"
"2023-04-21 15:06:06.67","POST","/company/practicum/create","366","200 OK"
"2023-04-21 15:06:07.997","GET","/company/practicum/list","68","200 OK"
"2023-04-21 15:06:10.828","GET","/company/practicum/create","49","200 OK"
"2023-04-21 15:06:18.664","POST","/company/practicum/create","51","200 OK"
"2023-04-21 15:06:19.42","GET","/company/practicum/list","45","200 OK"
"2023-04-21 15:06:21.978","GET","/company/practicum/show","45","200 OK"
"2023-04-21 15:06:24.435","GET","/company/practicum-session/list","27","200 OK"
"2023-04-21 15:06:26.761","GET","/company/practicum-session/create","43","200 OK"
"2023-04-21 15:06:37.107","POST","/company/practicum-session/create","41","200 OK"
"2023-04-21 15:06:37.635","GET","/company/practicum-session/list","17","200 OK"
"2023-04-21 15:06:39.874","GET","/company/practicum-session/create","25","200 OK"
"2023-04-21 15:06:49.134","POST","/company/practicum-session/create","24","200 OK"
"2023-04-21 15:06:49.533","GET","/company/practicum-session/list","22","200 OK"
"2023-04-21 15:06:51.738","GET","/company/practicum-session/create","23","200 OK"
"2023-04-21 15:07:00.106","POST","/company/practicum-session/create","44","200 OK"
"2023-04-21 15:07:00.969","GET","/company/practicum-session/list","28","200 OK"
"2023-04-21 15:07:05.164","GET","/company/practicum/list","22","200 OK"
"2023-04-21 15:07:07.098","GET","/company/practicum/show","36","200 OK"
"2023-04-21 15:07:09.106","GET","/company/practicum-session/list","25","200 OK"
"2023-04-21 15:07:14.295","GET","/company/company-dashboard/show","49","200 OK"
