timestamp,method,feature,time,status
"2023-04-21 14:19:13.204","GET","/authenticated/course/list","162","200 OK"
"2023-04-21 14:19:18.905","GET","/authenticated/course/show","26","200 OK"
"2023-04-21 14:19:25.528","GET","/authenticated/practicum/list","61","200 OK"
"2023-04-21 14:19:30.087","GET","/authenticated/course/show","15","200 OK"
"2023-04-21 14:19:31.622","GET","/authenticated/tutorial/list","40","200 OK"
"2023-04-21 14:19:34.856","GET","/authenticated/tutorial/show","33","200 OK"
"2023-04-21 14:19:37.308","GET","/authenticated/tutorial/list","24","200 OK"
"2023-04-21 14:19:39.022","GET","/authenticated/course/show","17","200 OK"
"2023-04-21 14:19:41.0","GET","/authenticated/practicum/list","14","200 OK"
"2023-04-21 14:19:42.526","GET","/authenticated/practicum/show","28","200 OK"
"2023-04-21 14:20:14.52","GET","/any/course/list","18","200 OK"
"2023-04-21 14:20:16.825","GET","/any/course/show","35","200 OK"
"2023-04-21 14:20:25.481","GET","/authenticated/practicum/list","30","200 OK"
"2023-04-21 14:20:26.731","GET","/any/course/show","9","200 OK"
"2023-04-21 14:20:31.477","GET","/any/course/list","21","200 OK"
"2023-04-21 14:20:33.004","GET","/any/course/show","28","200 OK"
"2023-04-21 14:20:57.716","GET","/authenticated/course/list","13","200 OK"
"2023-04-21 14:20:59.744","GET","/authenticated/course/show","16","200 OK"
"2023-04-21 14:21:02.305","GET","/authenticated/practicum/list","8","200 OK"
"2023-04-21 14:21:05.177","GET","/authenticated/course/show","16","200 OK"
"2023-04-21 14:21:08.167","GET","/authenticated/course/show","16","200 OK"
"2023-04-21 14:21:10.227","GET","/authenticated/course/list","21","200 OK"
"2023-04-21 14:21:12.168","GET","/authenticated/course/show","14","200 OK"
"2023-04-21 14:21:15.472","GET","/authenticated/practicum/list","12","200 OK"
"2023-04-21 14:21:17.317","GET","/authenticated/practicum/show","20","200 OK"
