timestamp,method,feature,time,status
"2023-04-21 14:45:44.255","GET","/anonymous/user-account/create","137","200 OK"
"2023-04-21 14:45:56.923","POST","/anonymous/user-account/create","223","200 OK"
"2023-04-21 14:46:01.808","GET","/anonymous/user-account/create","29","200 OK"
"2023-04-21 14:46:20.723","GET","/any/course/list","58","200 OK"
"2023-04-21 14:46:24.128","GET","/any/course/show","37","200 OK"
"2023-04-21 14:46:30.818","GET","/authenticated/company/create","37","200 OK"
"2023-04-21 14:46:39.486","POST","/authenticated/company/create","82","200 OK"
"2023-04-21 14:46:48.705","GET","/company/company-dashboard/show","40","500 INTERNAL_SERVER_ERROR"
"2023-04-21 14:46:52.028","GET","/company/practicum/list","10","200 OK"
"2023-04-21 14:46:55.252","GET","/company/practicum/create","59","200 OK"
"2023-04-21 14:47:04.137","POST","/company/practicum/create","98","200 OK"
"2023-04-21 14:47:05.25","GET","/company/practicum/list","40","200 OK"
"2023-04-21 14:48:05.611","GET","/company/practicum/show","46","200 OK"
"2023-04-21 14:48:07.744","GET","/company/practicum-session/list","24","200 OK"
"2023-04-21 14:48:11.138","GET","/company/practicum-session/create","24","200 OK"
"2023-04-21 14:48:20.844","POST","/company/practicum-session/create","53","200 OK"
"2023-04-21 14:48:21.459","GET","/company/practicum-session/list","33","200 OK"
"2023-04-21 14:48:27.189","GET","/company/practicum-session/show","36","200 OK"
"2023-04-21 14:48:29.859","GET","/company/practicum-session/list","26","200 OK"
"2023-04-21 14:48:31.746","GET","/company/practicum-session/create-addendum","14","200 OK"
"2023-04-21 14:48:40.555","GET","/company/practicum-session/list","16","200 OK"
"2023-04-21 14:48:42.324","GET","/company/practicum/show","41","200 OK"
"2023-04-21 14:48:44.932","POST","/company/practicum/publish","62","200 OK"
"2023-04-21 14:48:45.622","GET","/company/practicum/list","31","200 OK"
"2023-04-21 14:48:51.457","GET","/company/practicum/show","22","200 OK"
"2023-04-21 14:48:53.138","GET","/company/practicum-session/list","23","200 OK"
"2023-04-21 14:48:58.312","GET","/company/practicum/list","16","200 OK"
"2023-04-21 14:48:59.861","GET","/company/practicum/show","38","200 OK"
"2023-04-21 14:49:02.189","GET","/company/practicum-session/list","26","200 OK"
"2023-04-21 14:49:07.144","GET","/company/practicum-session/create-addendum","10","200 OK"
"2023-04-21 14:49:18.866","POST","/company/practicum-session/create-addendum","206","500 INTERNAL_SERVER_ERROR"
"2023-04-21 14:49:26.237","GET","/company/practicum/list","21","200 OK"
"2023-04-21 14:49:35.899","GET","/company/practicum/show","23","200 OK"
"2023-04-21 14:49:38.681","GET","/company/practicum-session/list","10","200 OK"
"2023-04-21 14:49:40.339","GET","/company/practicum-session/create-addendum","20","200 OK"
"2023-04-21 14:50:07.11","POST","/company/practicum-session/create-addendum","40","200 OK"
"2023-04-21 14:50:07.662","GET","/company/practicum-session/list","28","200 OK"
"2023-04-21 14:50:12.829","GET","/company/company-dashboard/show","78","200 OK"
"2023-04-21 14:50:19.19","GET","/company/practicum/list","18","200 OK"
"2023-04-21 14:50:23.945","GET","/company/company-dashboard/show","49","200 OK"
