key,name,VAT,summary,link,key:userAccount
company-01,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-01
company-02,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-02
company-03,Empresa ejemplo,123456789012345678901234,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-03
company-04,Eeee,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-04
company-05,Empresa,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-05
company-06,ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://google.es,user-account-company-06
company-07,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-07
company-08,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-08
company-09,esto no es ni un link ni un nombre,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-09
company-10,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-10
company-11,Empresa ejemplo,12345678901,SUMMARY DE 3J3MPL0,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-11
company-12,Empresa ejemplo,123456789012345678901234,empresa ejemploo summary,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-12
company-13,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-13
company-14,Empresa ejemplo,A-12345678901J,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-14
company-15,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-15
company-16,Empresa ejemplo,123456789012345678901234,Aq va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-16
company-17,buena empresa34,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-17
company-18,Empresa ejemplo,12345678904441,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-18
company-19,Empresa ejemplo,12345678901222222,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-19
company-20,Empresa ejemplo,12345678901,Aqui va un resumen de la empresa de ejemplo.,https://github.com/alvgonfri/dp2-acme-l3,user-account-company-20
